Charles Huston Middle School,1020 Puckety Church Rd, Lower Burrell, PA 15068,,
Franklin Regional Middle School,4660 Old William Penn Hwy, Murrysville, PA 15668,,
Greater Latrobe Junior High School,130 High School Rd, Latrobe, PA 15650,,
McGuffey Middle School,86 Mcguffey Dr, Claysville, PA 15323,,
Mellon Middle School,11 Castle Shannon Blvd, Pittsburgh, PA 15228,,
Norwin Middle School,10870 Mockingbird Dr, North Huntingdon, PA 15642,,
Penns Manor Junior High School,6003 PA-553, Clymer, PA 15728,,
Peters Township Middle School,625 E McMurray Rd, McMurray, PA 15317,,
Quaker Valley Middle School,618 Harbaugh St, Sewickley, PA 15143,,
Ringgold Middle School,2, Ram Dr, Monongahela, PA 15063,
Shady Side Academy Middle School,500 Squaw Run Rd E, Pittsburgh, PA 15238,,
Winchester Thurston Middle School,555 Morewood Ave, Pittsburgh, PA 15213,,
Woodland Hills Intermediate School,7600 Evans St, Pittsburgh, PA 15218,,
Chateaugay Central Middle School,42 River St, Chateaugay, NY 12920,,
Lake Placid Middle School,201 S Tangerine Dr, Lake Placid, FL 33852,,
Long Lake Middle School,20 School Rd, Long Lake, NY 12847,,
Plattsburgh Middle School,15 Broad St, Plattsburgh, NY 12901,,
Thousand Islands Middle School,8481 St Lawrence Rd, Clayton, NY 13624,,
Ballston Spa Middle School,210 Ballston Ave, Ballston Spa, NY 12020,,
Cooperstown Central Middle School,39 Linden Ave, Cooperstown, NY 13326,,
Howard L. Goff Middle School,35 Gilligan Rd, East Greenbush, NY 12061,,
Maple Grove Middle School,7000 Hemlock Ln N, Maple Grove, MN 55369,,
New Lebanon Junior Middle School,14665 NY-22, New Lebanon, NY 12125,,
Onteora Middle School,5203, 4166 NY-28, Boiceville, NY 12412,
Richard H. O'Rourke Middle School,173 Lakehill Rd, Burnt Hills, NY 12027,,
Ravena-Coeymans-Selkirk Middle School,2025 Us Route 9W, Ravena, NY 12143,,
Scotia-Glenville Middle School,10 Prestige Pkwy, Scotia, NY 12302,,
South Kortright Middle School,58200 NY-10, South Kortright, NY 13842,,
,,,,,
Bellport Middle School,35 Kreamer St, Bellport, NY 11713,,
Commack Middle School,700 Vanderbilt Pkwy, Commack, NY 11725,,
Copiague Middle School,2650 Great Neck Rd, Copiague, NY 11726,,
East Northport Middle School,1075 5th Ave, East Northport, NY 11731,,
Great Hollow Middle School,150 Southern Blvd # 1, Smithtown, NY 11787,,
Hauppauge Middle School,600 Townline Rd, Hauppauge, NY 11788,,
Islip Middle School,211 Main St, Islip, NY 11751,,
James Wilson Young Middle School,602 Sylvan Ave, Bayport, NY 11705,,
Northport Middle School,11 Middleville Rd, Northport, NY 11768,,
Southampton Middle School,1200 Moores Mill Rd, Bel Air, MD 21014,,
Stimson Middle School,401 Oakwood Rd, Huntington Station, NY 11746,,
St. Philip & James Middle School,721 Lincoln Hwy,Exton,PA 19341,,
Udall Road Middle School,900 Udall Rd, West Islip, NY 11795,,
West Babylon Middle School,200 Old Farmingdale Rd, West Babylon, NY 11704,,
West Hollow Middle School,250 Old East Neck Rd, Melville, NY 11747,,
Buffalo Academy of Science,190 Franklin St, Buffalo, NY 14202,,
Casey Middle School,105 Casey Rd, East Amherst, NY 14051,,
Chautauqua Lake Middle School,100 N Erie St, Mayville, NY 14757,,
City Honor Middle School,186 E North St, Buffalo, NY 14204,,
International Preparatory School at Grover,110 14th St, Buffalo, NY 14213,,
Lovejoy Discovery School,161 Benzinger St, Buffalo, NY 14206,,
"Math, Science and Technology Preparatory School",646 E Delavan Ave, Buffalo, NY 14215,,
Nichols School,1250 Amherst St, Buffalo, NY 14216,,
Orchard Park Middle School,60 S Lincoln Ave, Orchard Park, NY 14127,,
The Park School of Buffalo,4625 Harlem Rd, Buffalo, NY 14226,,
Transit Middle School,8730 Transit Rd, East Amherst, NY 14051,,
Veronica Connor Middle School,1100 Ransom Rd # 2, Grand Island, NY 14072,,
West Seneca Middle School,395 Center Rd, West Seneca, NY 14224,,
Alexander Hamilton Middle School,3465 E 130th St, Cleveland, OH 44120,,
Ardsley Middle School,700 Ashford Ave, Ardsley, NY 10502,,
Fox Lane Middle School,632 S Bedford Rd, Bedford, NY 10506,,
Hackley School,293 Benedict Ave, Tarrytown, NY 10591,,
Hommocks Middle School,130 Hommocks Rd, Larchmont, NY 10538,,
Irvington Middle School,40 N Broadway, Irvington, NY 10533,,
Isaac Young Middle School,270 Centre Ave, New Rochelle, NY 10805,,
John Jay Middle School,40 N Salem Rd, Cross River, NY 10518,,
Louis M. Klein Middle School,50 Union Ave, Harrison, NY 10528,,
Nyack Middle School,98 S Highland Ave, Nyack, NY 10960,,
Pearls Hawthorne School,350 Hawthorne Ave, Yonkers, NY 10705,,
Pelham Middle School,28 Franklin Pl, Pelham, NY 10803,,
Rye Country Day School,3 Cedar St, Rye, NY 10580,,
Westlake Middle School,4330 W Lake Rd, Erie, PA 16505,,
Yonkers High School,150 Rockland Ave, Yonkers, NY 10705,,
Marlboro Middle School,355 County Rd 520, Marlboro Township, NJ 07746,,
M. Clifford Miller Middle School,65 Fording Place Rd, Lake Katrine, NY 12449,,
Monroe-Woodbury Middle School,199 Dunderberg Rd, Central Valley, NY 10917,,
New Paltz Middle School,196 Main St, New Paltz, NY 12561,,
Orville Todd Middle School,11 Croft Rd, Poughkeepsie, NY 12603,,
,,,,,
Roundout Valley Middle School,122 Kyserike Rd, Accord, NY 12404,,
Washingtonville Middle School,38 W Main St, Washingtonville, NY 10992,,
Bishop Ludden Junior High School,815 Fay Rd, Syracuse, NY 13219,,
Chesnut Hill Middle School,200 Saslon Park Dr, Liverpool, NY 13088,,
Christian Brothers Academy,850 Newman Springs Rd, Lincroft, NJ 07738,,
Chittenango Middle School,1732 Fyler Rd, Chittenango, NY 13037,,
Dryden Middle School,118 Freeville Rd, Dryden, NY 13053,,
Eagle Hill Middle School,4645 Enders Rd, Manlius, NY 13104,,
Fabius-Pompey Middle School,1211 Mill St, Fabius, NY 13063,,
Faith Heritage School,3740 Midland Ave, Syracuse, NY 13205,,
Gillitte Road Middle School,6150 S Bay Rd, Cicero, NY 13039,,
Jamesville-Dewitt Middle School,6280 Randall Rd, Jamesville, NY 13078,,
Jordan-Elbridge Middle School,9 N Chappell St, Jordan, NY 13080,,
LaFayette Middle School,787 Lafayette Ave, Brooklyn, NY 11221,,
Oneida Middle School,1629 Oneida St, Schenectady, NY 12308,,
Onondaga Hill Middle School,4860 Onondaga Rd, Syracuse, NY 13215,,
Pine Grove Middle School,9200 Old Harford Rd, Baltimore, MD 21234,,
Ralph Perry Junior High School,9499 Weston Rd, New Hartford, NY 13413,,
Red Creek Middle School,6624 South St, Red Creek, NY 13143,,
Roxboro Road Middle School,300 Bernard St, Syracuse, NY 13211,,
Soule Road Middle School,8340 Soule Rd, Liverpool, NY 13090,,
Syracuse Academy of Science,S Salina St, Syracuse, NY 13205,,
Tully Junior High School,5848 NY-80, Tully, NY 13159,,
Wellwood Middle School,700 S Manlius St, Fayetteville, NY 13066,,
Whitesboro Middle School,75 Oriskany Blvd, Whitesboro, NY 13492,,
A. D. Oliver Middle School,40 Allen St, Brockport, NY 14420,,
Albion Middle School,254 East Ave, Albion, NY 14411,,
Burger Middle School,639 Erie Station Rd, West Henrietta, NY 14586,,
Honeoye Falls-Lima Middle School,619 Quaker Meeting House Rd, Honeoye Falls, NY 14472,,
Livonia Middle School,40 Spring St, Livonia, NY 14487,,
Lyndonville Middle School,25 Housel Ave, Lyndonville, NY 14098,,
Martha Brown Middle School,665 Ayrault Rd, Fairport, NY 14450,,
Merton Williams Middle School,200 School Ln, Hilton, NY 14468,,
Penn Yan Middle School,515 Liberty St, Penn Yan, NY 14527,,
Rochester Academy Charter School,841 Genesee St, Rochester, NY 14611,,
Sodus Middle School,54 Mill St, Sodus, NY 14551,,
Thomas Middle School,1430 N Belmont Ave, Arlington Heights, IL 60004,,
Twelve Corners Middle School,2643 Elmwood Ave, Rochester, NY 14618,,
Willink Middle School,900 Publishers Pkwy, Webster, NY 14580,,
A. Fantis Parochial School,195 State St, Brooklyn, NY 11201,,
Bay Academy,1401 Emmons Ave, Brooklyn, NY 11235,,
Bleeker Middle School,147-26 25th Dr, Flushing, NY 11354,,
Brooklyn Amity School,3867 Shore Pkwy, Brooklyn, NY 11235,,
Cunningham Middle School,1875 E 17th St, Brooklyn, NY 11229,,
Dwight Middle School,2454 W Southcross Blvd, San Antonio, TX 78211,,
Dyker Heights Middle School,8010 12th Ave, Brooklyn, NY 11228,,
Hellenic Classical Charter School,646 5th Ave, Brooklyn, NY 11215,,
Hewitt School,45 E 75th St, New York, NY 10021,,
John Ericsson Middle School,424 Leonard St, Brooklyn, NY 11222,,
Niles Middle School,411 Brown St, Niles, OH 44446,,
Pasteur Middle School,8935 Elm Ave, Orangevale, CA 95662,,
Razi School,55-11 Queens Blvd, Queens, NY 11377,,
Ryan Middle School,64-20 175th St, Fresh Meadows, NY 11365,,
Russel Sage Middle School,68-17 Austin St, Forest Hills, NY 11375,,
Simon Baruch Middle School,330 E 21st St, New York, NY 10010,,
St. Ignatius Loyola,300 Gittings St,Baltimore, MD 21230,,
Sunset Park Prep,4004 4th Ave, Brooklyn, NY 11232,,
William Cowper Middle School,7002 54th Ave, Flushing, NY 11378,,
Chenango Forks Middle School,1, Gordon Dr, Binghamton, NY 13901,
Horseheads Middle School,950 Sing Sing Rd, Horseheads, NY 14845,,
Johnson City Middle School,601 Columbia Dr, Johnson City, NY 13790,,
Maine Endwell Middle School,1119 Farm to Market Rd #1197, Endwell, NY 13760,,
"Seton Catholic Central Middle School (A,B)",6,590 USD,,,
Baldwin Middle School,3211 Schreiber Pl, Baldwin, NY 11510,,
Carle Place Middle School,168 Cherry Ln, Carle Place, NY 11514,,
Clarke (W.T.) Middle School,740 Edgewood Dr, Westbury, NY 11590,,
Finley (R.M.) Middle School,1 Forest Ave, Glen Cove, NY 11542,,
"Garden City Middle School (1,2)",98 Cherry Valley Ave, Garden City, NY 11530,,
Great Neck North Middle School,77 Polo Rd, Great Neck, NY 11023,,
Hereber (Howard T.) Middle School,75 Ocean Ave, Malverne, NY 11565,,
Hicksville Middle School,215 Jerusalem Ave, Hicksville, NY 11801,,
Howitt Middle School,70 Vancott Ave, Farmingdale, NY 11735,,
"Island Trees Middle School (1,2)",45 Wantagh Ave, Levittown, NY 11756,,
Manhasset Middle School,200 Memorial Pl, Manhasset, NY 11030,,
Merrick Valley Middle School,14 Allen St, Penacook, NH 03303,,
Mineola Middle School,200 Emory Rd #2361, Mineola, NY 11501,,
Thomson (H.B.) Middle School,98 Ann Dr, Syosset, NY 11791,,
Weber Middle School,52 Campus Dr, Port Washington, NY 11050,,
"Westbury Middle School (1,2)",455 Rockland St, Westbury, NY 11590,,
"Wisdom Lane Middle School (1,2)",120 Center Ln, Levittown, NY 11756,,
Moorestown Friends School,110 E Main St, Moorestown, NJ 08057,,
Darul Arqam School,8 Thomas St, South River, NJ 08882,,
Hammarskojld Middle School,200 Rues Ln, East Brunswick, NJ 08816,,
Hillsborough Middle School,260 Triangle Rd, Hillsborough Township, NJ 08844,,
Kent Place School,42 Norwood Ave, Summit, NJ 07902,,
Medford Memorial School,55 Mill St, Medford, NJ 08055,,
New Providence Middle School,35 Pioneer Dr, New Providence, NJ 07974,,
Noor-Ul-Iman School,4137 US-1, Monmouth Junction, NJ 08852,,
Thomas R. Grover Middle School,10 Southfield Rd, West Windsor Township, NJ 08550,,
Timberlane Middle School,51 S Timberlane Dr, Pennington, NJ 08534,,
Valleyview Middle School,320 Diamond Spring Rd, Denville, NJ 07834,,
Voorhees Middle School,1000 Holly Oak Dr, Voorhees Township, NJ 08043,,
Al-Minhaal Academy,438 Ganttown Rd b3, Sewell, NJ 08080,,
Cranbury School,23 N Main St, Cranbury Township, NJ 08512,,
Central Jersey College Prep Charter School,101 Mettlers Rd, Somerset, NJ 08873,,
First Avenue School,214 1st Ave, Newark, NJ 07107,,
Glenfield Middle School,25 Maple Ave, Montclair, NJ 07042,,
Haworth Public School,205 Valley Rd, Haworth, NJ 07641,,
Lazar Middle School,123 Changebridge Rd, Montville, NJ 07045,,
Montclair Kimberley Academy,201 Valley Rd, Montclair, NJ 07042,,
Mount Olive Middle School,160 Wolfe Rd, Budd Lake, NJ 07828,,
Randolph Middle School,507 Millbrook Ave, Randolph, NJ 07869,,
Roosevelt Intermediate School,301 Clark St, Westfield, NJ 07090,,
Thomas R. Grover Middle School,10 Southfield Rd, West Windsor Township, NJ 08550,,
Waterfront Montessori School,150 Warren St #108, Jersey City, NJ 07302,,
Carl H. Kumpf Middle School,59 Mildred Terrace, Clark, NJ 07066,,
Churchill Junior High School,18 Norton Rd, East Brunswick, NJ 08816,,
Cranbury School,23 N Main St, Cranbury Township, NJ 08512,,
Crossroads Middle School,535 Fishing Creek Rd, Lewisberry, PA 17339,,
Edison Intermediate School,800 Rahway Ave, Westfield, NJ 07090,,
Hillsborough Middle School,260 Triangle Rd, Hillsborough Township, NJ 08844,,
Mendham Township Middle School,16 Washington Valley Rd, Brookside, NJ 07926,,
New Providence Middle School,35 Pioneer Dr, New Providence, NJ 07974,,
Noble Leadership Academy,123 Jefferson St, Passaic, NJ 07055,,
Pond Road Middle School,150 Pond Rd, Robbinsville Twp, NJ 08691,,
Ranney School,235 Hope Rd, Tinton Falls, NJ 07724,,
South Hunterdon Regional Middle School,301 Mt Airy-Harbourton Rd, Lambertville, NJ 08530,,
Sparta Middle School,350 Main St, Sparta, NJ 07871,,
St. Leo The Great School,2427 Marietta Ave, Lancaster, PA 17601,,
Tenafly Middle School,10 Sunset Ln, Tenafly, NJ 07670,,
Tenakill Middle School,275 High St, Closter, NJ 07624,,
Timberlane Middle School,51 S Timberlane Dr, Pennington, NJ 08534,,
William R. Satz Middle School,24 Crawfords Corner Rd, Holmdel, NJ 07733,,
Beachwood Middle School,2860 Richmond Rd, Beachwood, OH 44122,,
Brecksville-Broadview Heights Middle School,6376 Mill Rd, Broadview Heights, OH 44147,,
Chardon Middle School,424 North St, Chardon, OH 44024,,
Kenston Middle School,17425 Snyder Rd, Chagrin Falls, OH 44023,,
Mayfield Middle School,(410) 313-5022,,,,
Memorial (Mentor) Middle School,8979 Mentor Ave, Mentor, OH 44060,,
Ridge (Mentor) Middle School,7860 Johnnycake Ridge Rd, Mentor, OH 44060,,
Shore (Mentor) Middle School,Mentor, OH 44060,,,
Solon Middle School,6835 Som Center Rd, Solon, OH 44139,,
,,,,,
Urban Community School,4909 Lorain Ave, Cleveland, OH 44102,,
Hadley E. Watts Middle School,7056 McEwen Rd, Dayton, OH 45459,,
Magsig Middle School,192 W Franklin St, Dayton, OH 45459,,
Northmont Middle School,4810 National Rd, Clayton, OH 45315,,
Tower Heights Middle School,195 N Johanna Dr, Dayton, OH 45459,,
West Liberty Salem Middle School,7208 US-68, West Liberty, OH 43357,,
Copley-Fairlawn Middle School,1531 S Cleveland Massillon Rd, Copley, OH 44321,,
Hudson Middle School (Ohio),77 N Oviatt St, Hudson, OH 44236,,
Newcomerstown Middle School,325 W State St, Newcomerstown, OH 43832,,
Oakwood Middle School,2300 Schneider St NE, Canton, OH 44721,,
Our Lady of the Elms Middle School,1375 W Exchange St, Akron, OH 44313,,
Revere Middle School,3195 Spring Valley Rd, Akron, OH 44333,,
Rittman Middle School,50 Saurer St, Rittman, OH 44270,,
Seton Catholic,310 Hertzler Rd, Mechanicsburg, PA 17055,,
St. Barnabas,248 Seneca St, Harrisburg, PA 17110,,
,,,,,
A.I. Root Middle School,333 W Sturbridge Dr, Medina, OH 44256,,
Brecksville-Broadview Heights Middle School,6376 Mill Rd, Broadview Heights, OH 44147,,
Claggett Middle School,420 E Union St, Medina, OH 44256,,
Rocky River Middle School,1631 Lakeview Ave, Rocky River, OH 44116,,
Westlake Lee Burneson Middle School,2260 Dover Center Rd, Westlake, OH 44145,,
,,,,,
Ayersville Middle School,28046 Watson Rd, Defiance, OH 43512,,
Byrnedale Middle School,3635 Glendale Ave, Toledo, OH 43614,,
Elida Middle School,4500 Sunnydale St, Elida, OH 45807,,
Fayette High School,3640 Old Oakdale Rd, McDonald, PA 15057,,
Ottawa Hills Junior High School,2532 Evergreen Rd, Ottawa Hills, OH 43606,,
,,,,,
,,,,,
Sidney Middle School,980 Fair Rd, Sidney, OH 45365,,
Springfield Middle School,334 E Sunset Ave, Williamsport, MD 21795,,
St. John's Jesuit Academy,5901 Airport Hwy, Toledo, OH 43615,,
Immaculate Conception Academy,903 Chestnut St, Douglassville, PA 19518,,
Kings Juniors High School,5620 Columbia Rd, Kings Mills, OH 45034,,
Loveland Middle School,801 S Lebanon Rd, Loveland, OH 45140,,
Milford Junior High School,5735 Wolfpen Pleasant Hill Rd, Milford, OH 45150,,
National Trail Middle School,6940 Oxford Gettysburg Rd, New Paris, OH 45347,,
Ross Middle School,3425 Hamilton Cleves Rd, Hamilton, OH 45013,,
,,,,,
St. James of the Valley,411 Springfield Pike, Wyoming, OH 45215,,
St. Mark's Lutheran,117 W Keller St, Mechanicsburg, PA 17055,,
Twin Valley South Middle School,100 Education Dr, West Alexandria, OH 45381,,
Winton Hills Academy,5300 Winneste Ave, Cincinnati, OH 45232,,
Wyoming Middle School,17 Wyoming Ave, Cincinnati, OH 45215,,
New Albany Middle School,6600 E Dublin Granville Rd, New Albany, OH 43054,,
Columbus Academy,4300 Cherry Bottom Rd, Gahanna, OH 43230,,
Ballenger Creek Middle School,5525 Ballenger Creek Pike, Frederick, MD 21703,,
Benjamin Tasker Middle School,4901 Collington Rd, Bowie, MD 20715,,
Bohemia Manor Middle School,2755 Augustine Herman Hwy, Chesapeake City, MD 21915,,
Burleigh Manor Middle School,4200 Centennial Ln, Ellicott City, MD 21042,,
Cabin John Middle School,10701 Gainsborough Rd, Potomac, MD 20854,,
Chesapeake Math and IT Academy North,14800 Sweitzer Ln, Laurel, MD 20707,,
Chesapeake Math and IT Academy South,14800 Sweitzer Ln, Laurel, MD 20707,,
Chesapeake Science Point Charter School,7321 Pkwy Dr S, Hanover, MD 21076,,
Clarksville Middle School,6535 S Trotter Rd, Clarksville, MD 21029,,
Crestwood Middle School,7100 Foxcroft Dr, Frederick, MD 21703,,
Ellicott Mills Middle School,4445 Montgomery Rd, Ellicott City, MD 21043,,
Frederick Classical Charter School,8445 Spires Way, Frederick, MD 21701,,
Hallie Wells Middle School,11701 Little Seneca Pkwy, Clarksburg, MD 20871,,
Kent County Middle School,402 E Campus Ave, Chestertown, MD 21620,,
Lake Elkhorn Middle School,6680 Cradlerock Way, Columbia, MD 21045,,
Lime Kiln Middle School,11650 Scaggsville Rd, Fulton, MD 20759,,
Mace's Lane Middle School,1101 Maces Ln, Cambridge, MD 21613,,
Metapeake Middle School,671 Romancoke Rd, Stevensville, MD 21666,,
Middletown Middle School,215 Oberlin Rd, Middletown, PA 17057,,
Monocacy Middle School,8009 Opossumtown Pike, Frederick, MD 21702,,
Monocacy Valley Montessori Charter School,217 Dill Ave, Frederick, MD 21701,,
Mount Airy Middle School,102 W Watersville Rd, Mt Airy, MD 21771,,
North Bethesda Middle School,8935 Bradmoor Dr, Bethesda, MD 20817,,
Oakdale Middle School,5810 Oakdale School Rd, Ijamsville, MD 21754,,
Rockbridge Academy,680 Evergreen Rd, Crownsville, MD 21032,,
Sacred Heart of Glyndon Catholic School,63 Sacred Heart Ln, Reisterstown, MD 21136,,
Thurmont Middle School,408 E Main St #2020, Thurmont, MD 21788,,
Urbana Middle School,MD-80, Urbana, MD 21704,,
,,,,,
Windsor Knolls Middle School,11150 Windsor Rd, Ijamsville, MD 21754,,
Arundel Elementary/Middle School,2400 Round Rd, Baltimore, MD 21225,,
Ashburton Elementary/Middle School,3935 Hilton Rd, Baltimore, MD 21215,,
Barclay Elementary/Middle School,2900 Barclay St, Baltimore, MD 21218,,
Bluford Drew Jemison STEM Academy,1130 N Caroline St, Baltimore, MD 21213,,
Cherry Hill Elementary/Middle School,801 Bridgeview Rd, Baltimore, MD 21225,,
Commodore John Rodgers Elementary/Middle School,100 N Chester St, Baltimore, MD 21231,,
Curtis Bay Elementary/Middle School,4301 W Bay Ave, Brooklyn, MD 21225,,
Fallstaff Elementary/Middle School,3801 Fallstaff Rd, Baltimore, MD 21215,,
Fort Worthington Elementary/Middle School,2710 E Hoffman St, Baltimore, MD 21213,,
Graceland Park-O'Donnell Heights Elementary/Middle School,6300 O'Donnell St, Baltimore, MD 21224,,
Holabird Academy,1500 Imla St, Baltimore, MD 21224,,
Lakeland Elementary/Middle School,2921 Stranden Rd, Baltimore, MD 21230,,
Maree Garnett Farring Elementary/Middle School,300 Pontiac Ave, Baltimore, MD 21225,,
Margaret Brent Elementary/Middle School,100 E 26th St, Baltimore, MD 21218,,
Montebello Elementary/Middle School,2040 E 32nd St, Baltimore, MD 21218,,
Roland Park Elementary/Middle School,5207 Roland Ave, Baltimore, MD 21210,,
Vanguard Collegiate Middle School,5000 Truesdale Ave, Baltimore, MD 21206,,
Walter P. Carter Elementary/Middle School,1101 Winston Ave, Baltimore, MD 21212,,
