[0, 0.0]
[1, 0.04627504480862187]
[2, 0.01950526543319674]
[3, 0.013599506128179631]
[4, 0.010937352065049435]
[5, 0.009444178208325792]
[6, 0.008506344667482076]
[7, 0.00769498863113785]
[8, 0.007249805376098772]
[9, 0.006925209447701208]
[10, 0.0066344526251082775]
[11, 0.006374119422324733]
[12, 0.006165012637048589]
[13, 0.0060160444937348775]
[14, 0.005889364280934454]
[15, 0.00572091749522642]
[16, 0.0056299836657467866]
[17, 0.005562343081559909]
[18, 0.0054532747115607]
[19, 0.005370509445130595]
[20, 0.005327100798260004]
[21, 0.005249129338794493]
[22, 0.005184741612011021]
[23, 0.0051291786468203]
[24, 0.005072800375348575]
[25, 0.005026606467440697]
[26, 0.004978923667934627]
[27, 0.004950119549489441]
[28, 0.004896756044826717]
[29, 0.004866060628677909]
[30, 0.004828475090707782]
[31, 0.004780250262408138]
[32, 0.004769332077769399]
[33, 0.004726095834299398]
[34, 0.004707651185484098]
[35, 0.004678672606663744]
