[0, 0.0]
[1, 0.028385566913291155]
[2, 0.012716062596187254]
[3, 0.009088981551362006]
[4, 0.007437158512126023]
[5, 0.006320872825220047]
[6, 0.005799163876712712]
[7, 0.005396000321418687]
[8, 0.005156133484469526]
[9, 0.004973186889036661]
[10, 0.004792682659842347]
[11, 0.00468656846990547]
[12, 0.004563019557138087]
[13, 0.00449849834068411]
[14, 0.004480027915694006]
[15, 0.004416389239370175]
[16, 0.004356733972891269]
[17, 0.004317286781870225]
[18, 0.00433067044973566]
[19, 0.004274724375769182]
[20, 0.004242729042235697]
[21, 0.004231250153744703]
[22, 0.004221113115022132]
[23, 0.004187055032913732]
[24, 0.0041651043524268995]
[25, 0.004145153601740968]
[26, 0.004154757169253343]
[27, 0.004129098936861768]
[28, 0.004108061860934532]
[29, 0.004088675011321376]
[30, 0.004070772541232068]
[31, 0.004056550189015787]
[32, 0.00405020747329823]
[33, 0.004035631031037122]
[34, 0.0040327821842880045]
[35, 0.004026122047489536]
