[0, 0.0]
[1, 0.021269812157581863]
[2, 0.007303424991878922]
[3, 0.004843171555695387]
[4, 0.004063204786839235]
[5, 0.0035729297942056143]
[6, 0.003447164470423746]
[7, 0.0034092923431847575]
[8, 0.003372940620423469]
[9, 0.0033902904894378893]
[10, 0.00339722196247101]
[11, 0.003451573657150737]
[12, 0.003518717024643742]
[13, 0.003539274000676432]
[14, 0.0035757482414153765]
[15, 0.00359395850881036]
[16, 0.003634606188106011]
[17, 0.0036819853230873763]
[18, 0.0037056877440035875]
[19, 0.0037233955131680007]
[20, 0.003755737716482882]
[21, 0.003759970475159667]
[22, 0.0037787412247263933]
[23, 0.0037816468044051038]
[24, 0.0037952525849450124]
[25, 0.0038156437783574983]
[26, 0.0038319732458484495]
[27, 0.0038277565038880496]
[28, 0.003828555763649037]
[29, 0.0038383554130720977]
[30, 0.0038562533710604146]
[31, 0.0038540812514872]
[32, 0.003848014495469862]
[33, 0.003854238541783099]
[34, 0.003852466388656601]
[35, 0.0038489822762694066]
