[0, 0.0]
[1, 0.024033244885388383]
[2, 0.01196773031311446]
[3, 0.009525712103512064]
[4, 0.008172613096878905]
[5, 0.0071825615364000854]
[6, 0.0068904658528388405]
[7, 0.006468298910684751]
[8, 0.0061873337576295925]
[9, 0.0060145767810958]
[10, 0.005878245630593325]
[11, 0.005767946685202636]
[12, 0.005670680923406778]
[13, 0.005543260061261303]
[14, 0.005450679535638139]
[15, 0.005400558737163389]
[16, 0.005347753140440915]
[17, 0.005258023253095133]
[18, 0.005223645357274244]
[19, 0.005169829460014562]
[20, 0.005117932953741476]
[21, 0.005095667592129482]
[22, 0.00502884218834613]
[23, 0.005012683862988112]
[24, 0.004967435249276147]
[25, 0.004940615497170043]
[26, 0.004899068438414012]
[27, 0.004882440021796513]
[28, 0.0048514104182203425]
[29, 0.004832740081679735]
[30, 0.004800768177129285]
[31, 0.004789873013081896]
[32, 0.0047522818204310995]
[33, 0.004750379310732486]
[34, 0.004718506267873611]
[35, 0.004701114787531464]
