[0, 0.0]
[1, 0.043004087967411286]
[2, 0.02407941554035292]
[3, 0.019024517925638966]
[4, 0.016219686850861434]
[5, 0.014321641065274858]
[6, 0.013061073273347218]
[7, 0.012061816100378217]
[8, 0.01135338873282991]
[9, 0.010784435028707906]
[10, 0.010273421278985492]
[11, 0.009871536767264634]
[12, 0.009509025067858539]
[13, 0.00918589897639748]
[14, 0.008919837602434743]
[15, 0.0087072965454049]
[16, 0.008468695541287336]
[17, 0.008273783592051945]
[18, 0.008121957576049003]
[19, 0.007948072220083128]
[20, 0.007795355594898053]
[21, 0.007675357447826296]
[22, 0.007555647874752824]
[23, 0.007465555130927223]
[24, 0.007339888598730131]
[25, 0.007244364486743649]
[26, 0.0071518462511715114]
[27, 0.00707110358593802]
[28, 0.0069766735800522095]
[29, 0.006908189966555084]
[30, 0.006844586044082353]
[31, 0.0067893716959220385]
[32, 0.006712798193169858]
[33, 0.006646733557910248]
[34, 0.0065957261420892]
[35, 0.006544350020306615]
