[0, 0.0]
[1, 0.049591531454448216]
[2, 0.027127305903699318]
[3, 0.020612269457349962]
[4, 0.017398724790610186]
[5, 0.01526646407252698]
[6, 0.013890699701724298]
[7, 0.012777129225790114]
[8, 0.011918506835554689]
[9, 0.011280300219327868]
[10, 0.01075730610857572]
[11, 0.010245011835355118]
[12, 0.009840990512937174]
[13, 0.009519423779729369]
[14, 0.009221376078352658]
[15, 0.008941785576901057]
[16, 0.008694758174696187]
[17, 0.008491171584857102]
[18, 0.008303809701651343]
[19, 0.00815640122887602]
[20, 0.007989108050140307]
[21, 0.007842231240728035]
[22, 0.007712958322801428]
[23, 0.007595838838695155]
[24, 0.007471244887057746]
[25, 0.0073834389357342435]
[26, 0.0072752352240534465]
[27, 0.00720264270210106]
[28, 0.007117707765157852]
[29, 0.00702158140708104]
[30, 0.006951911984155615]
[31, 0.006882564663709597]
[32, 0.006815775325459109]
[33, 0.006758006573452939]
[34, 0.006699784351745073]
[35, 0.006641115016412003]
