[0, 0.0]
[1, 0.06492134987486274]
[2, 0.03313077168193196]
[3, 0.023687909603892304]
[4, 0.019532141812187757]
[5, 0.01696623291962618]
[6, 0.015363804371485114]
[7, 0.014206575599252359]
[8, 0.013237076781004876]
[9, 0.012480776409166582]
[10, 0.011788829499311752]
[11, 0.011336082651678039]
[12, 0.010904597771393269]
[13, 0.010527511039274845]
[14, 0.01017957260758117]
[15, 0.00988761479935104]
[16, 0.009613978449775091]
[17, 0.009362573624509945]
[18, 0.009156761531976004]
[19, 0.008969896638363194]
[20, 0.0087899508306475]
[21, 0.008627510812419597]
[22, 0.008458067603927047]
[23, 0.00834058411622874]
[24, 0.008202790808826996]
[25, 0.008105305853514693]
[26, 0.00798290178855814]
[27, 0.007867511901165533]
[28, 0.007792908160594512]
[29, 0.007690252394533468]
[30, 0.0075966015472621815]
[31, 0.0075169188192123005]
[32, 0.007455544755090711]
[33, 0.007379722372595788]
[34, 0.00731380417554759]
[35, 0.0072397007434365146]
