[0, 0.0]
[1, 0.05762289164343832]
[2, 0.028697725867365353]
[3, 0.021761116597757972]
[4, 0.018130569822293257]
[5, 0.015987393485071024]
[6, 0.01449862439650797]
[7, 0.013362749379967714]
[8, 0.012528815496899564]
[9, 0.011883128474625053]
[10, 0.011276205693107966]
[11, 0.010813602914790716]
[12, 0.010377991741613106]
[13, 0.010070446708733699]
[14, 0.00974041938540504]
[15, 0.009476798172500285]
[16, 0.009258861582247415]
[17, 0.009037673149536456]
[18, 0.00884169088204553]
[19, 0.008686607014584104]
[20, 0.008497391004463829]
[21, 0.008374174219302246]
[22, 0.008228402879422858]
[23, 0.008111841711454825]
[24, 0.007994843601700514]
[25, 0.007874981558652825]
[26, 0.007790843090379799]
[27, 0.007699294697134703]
[28, 0.007603362273408213]
[29, 0.00751206799987314]
[30, 0.007433218913720408]
[31, 0.007381615738906482]
[32, 0.007310104729019158]
[33, 0.007241181454792883]
[34, 0.007176442181478012]
[35, 0.007115528587156178]
