[0, 0.0]
[1, 0.04820105305037846]
[2, 0.020805659553812816]
[3, 0.014497673837340953]
[4, 0.011756400844197646]
[5, 0.010290071940272233]
[6, 0.009204107524121723]
[7, 0.008402426818929354]
[8, 0.007891534132113453]
[9, 0.007455192051247937]
[10, 0.007124077522750723]
[11, 0.006849755783514695]
[12, 0.006639781220710872]
[13, 0.006437588614821368]
[14, 0.006274782015842678]
[15, 0.006121070930042747]
[16, 0.0060244139685630815]
[17, 0.00588105957977169]
[18, 0.00576505914875564]
[19, 0.005678914445655924]
[20, 0.005598288660647756]
[21, 0.005531769388352506]
[22, 0.005450536457429977]
[23, 0.0053822199116254285]
[24, 0.005322444267393877]
[25, 0.005264930417183196]
[26, 0.005201867848249378]
[27, 0.005162939992604372]
[28, 0.005098855429196379]
[29, 0.005059542102681003]
[30, 0.005025085383406977]
[31, 0.004971861377333961]
[32, 0.004948526122170831]
[33, 0.004902943341050473]
[34, 0.004873520153097855]
[35, 0.0048309320838174205]
