[0, 0.0]
[1, 0.026669074466983984]
[2, 0.01306844029517562]
[3, 0.009597426602834318]
[4, 0.007967136718217192]
[5, 0.007103804939209253]
[6, 0.006543453154651796]
[7, 0.006107531540735841]
[8, 0.005796551680135289]
[9, 0.005610898457248508]
[10, 0.005458025334419351]
[11, 0.0053285626276096355]
[12, 0.005205420321555965]
[13, 0.005132541491127387]
[14, 0.005028575919901341]
[15, 0.004952236510478261]
[16, 0.004894125175168872]
[17, 0.004850952828208457]
[18, 0.004798430630915071]
[19, 0.004748340583980975]
[20, 0.004700304036912462]
[21, 0.004654015989421833]
[22, 0.004612189276142942]
[23, 0.0045997248057865255]
[24, 0.00454508267469392]
[25, 0.004515861846351078]
[26, 0.004481561132501287]
[27, 0.004454807756827064]
[28, 0.004425480117617041]
[29, 0.004398336524584368]
[30, 0.004368807017542043]
[31, 0.00435396271202377]
[32, 0.004336115916525008]
[33, 0.004311572024749766]
[34, 0.004278985704772781]
[35, 0.004261463191224472]
