[0, 0.0]
[1, 0.025958189127705318]
[2, 0.01537717959259856]
[3, 0.011947368264500094]
[4, 0.010533637075948468]
[5, 0.009438432261335734]
[6, 0.008702557358004152]
[7, 0.008117855442657635]
[8, 0.007771151565887474]
[9, 0.007416214493518401]
[10, 0.007113830505467743]
[11, 0.006881790927032398]
[12, 0.006665884632262986]
[13, 0.0065007487005297225]
[14, 0.006349668595009884]
[15, 0.006195579052674355]
[16, 0.006056795335525781]
[17, 0.005955454458366977]
[18, 0.005881199892110813]
[19, 0.0057408642491197474]
[20, 0.005685004371431318]
[21, 0.005621141207548677]
[22, 0.005524990131205224]
[23, 0.00547983293463655]
[24, 0.005409386214375778]
[25, 0.005361356155633993]
[26, 0.005290278788977804]
[27, 0.005260571858784118]
[28, 0.005223057123358489]
[29, 0.005159428375863969]
[30, 0.00513244517066057]
[31, 0.0050759153564286655]
[32, 0.005038103572664817]
[33, 0.005006794793551937]
[34, 0.004961069543509852]
[35, 0.0049476067113713735]
