[0, 0.0]
[1, 0.05458302902983866]
[2, 0.02268070643958396]
[3, 0.015686573678057966]
[4, 0.012706092194294536]
[5, 0.010951861631713678]
[6, 0.009872728273796021]
[7, 0.009036035566696386]
[8, 0.008478401465761889]
[9, 0.008017335260940188]
[10, 0.007667402521319629]
[11, 0.007390042190789642]
[12, 0.007092444190294139]
[13, 0.006949403240211713]
[14, 0.006722279691326403]
[15, 0.006618400447983521]
[16, 0.006436578082732014]
[17, 0.006331815225623813]
[18, 0.006234586764634551]
[19, 0.006128564335045499]
[20, 0.00601877018613281]
[21, 0.0059500917656452245]
[22, 0.005881009339296383]
[23, 0.0058208929663213895]
[24, 0.005736045285089729]
[25, 0.0056891367289404445]
[26, 0.005632073939996731]
[27, 0.005558212957591973]
[28, 0.0055273505940174154]
[29, 0.0054911746292971315]
[30, 0.005415135133065475]
[31, 0.005384725737533354]
[32, 0.005329832377202286]
[33, 0.0053015342745748135]
[34, 0.005250145184080239]
[35, 0.005225569696918025]
