[0, 0.0]
[1, 0.030572377380553326]
[2, 0.01670230028847085]
[3, 0.013767519846729932]
[4, 0.012194961543891858]
[5, 0.011340455175495638]
[6, 0.010578385217276394]
[7, 0.010002569312473878]
[8, 0.009538943894754421]
[9, 0.009161919597121888]
[10, 0.00886263328498906]
[11, 0.008580415875013393]
[12, 0.008351194149683338]
[13, 0.0081576546195534]
[14, 0.007983395354317023]
[15, 0.007836361163994677]
[16, 0.0076780697462335195]
[17, 0.0075349645087070104]
[18, 0.007417512642801186]
[19, 0.007315372292277882]
[20, 0.00719119882702755]
[21, 0.00712315276438171]
[22, 0.007047851088334099]
[23, 0.006948707959946132]
[24, 0.006874621489470805]
[25, 0.006801719829082434]
[26, 0.006752023902515956]
[27, 0.0066717971331841566]
[28, 0.006599299665532076]
[29, 0.006561367735816233]
[30, 0.006499137066136092]
[31, 0.0064408621049052124]
[32, 0.0064146897631243895]
[33, 0.006357184831870731]
[34, 0.006318086316838813]
[35, 0.0062844025589650875]
