[0, 0.0]
[1, 0.02191871266454506]
[2, 0.01002495101147721]
[3, 0.007386091877781341]
[4, 0.006199029097974515]
[5, 0.005553391380705089]
[6, 0.005106922592586673]
[7, 0.00494630031601064]
[8, 0.0047421826434107415]
[9, 0.004669133867958112]
[10, 0.004584046222837087]
[11, 0.0045026654779487165]
[12, 0.004474328403453204]
[13, 0.0044708325729669535]
[14, 0.004386840719217946]
[15, 0.00435853578707481]
[16, 0.004350268625183947]
[17, 0.0043506130305957]
[18, 0.004336143522377054]
[19, 0.004288541882850619]
[20, 0.0042818215300627575]
[21, 0.004272542127252452]
[22, 0.004255126779588933]
[23, 0.0042391905923524886]
[24, 0.004221832090395517]
[25, 0.0042214665380293824]
[26, 0.004191048167883133]
[27, 0.004182146565433855]
[28, 0.004180808094424933]
[29, 0.0041571558918544055]
[30, 0.004150206855060796]
[31, 0.004141596931680627]
[32, 0.00412946570791154]
[33, 0.004118063057108721]
[34, 0.004095917602080999]
[35, 0.004086122781187664]
